Date,Year,Month,Origin_Country,Destination_Country,Product_Category,Trade_Volume_USD,Trade_Weight_KG
2020-01-01,2020,1,China,Canada,Machinery,14197.23,1382.18
2020-01-02,2020,1,France,USA,Automotive,14786.8,991.65
2020-01-02,2020,1,India,UK,Agriculture,13360.08,1176.75
2020-01-02,2020,1,Japan,India,Plastics,12222.39,1894.11
2020-01-03,2020,1,Italy,UK,Iron & Steel,12453.53,1162.35
2020-01-03,2020,1,France,Canada,Iron & Steel,11744.06,2042.43
2020-01-03,2020,1,Spain,South Korea,Plastics,11803.24,645.13
2020-01-03,2020,1,China,Brazil,Agriculture,11825.37,2244.45
2020-01-04,2020,1,India,China,Agriculture,10490.24,1675.49
2020-01-04,2020,1,Japan,Canada,Iron & Steel,12849.34,697.7
2020-01-04,2020,1,South Korea,Australia,Iron & Steel,12771.68,1635.16
2020-01-05,2020,1,Japan,China,Automotive,16373.65,3136.19
2020-01-06,2020,1,Spain,Germany,Machinery,14346.43,2321.83
2020-01-06,2020,1,Germany,India,Iron & Steel,12357.92,1200.07
2020-01-06,2020,1,Russia,USA,Automotive,16007.79,863.53
2020-01-06,2020,1,Germany,Japan,Automotive,15614.11,840.38
2020-01-06,2020,1,Australia,Japan,Pharmaceuticals,12119.62,858.27
2020-01-06,2020,1,France,India,Plastics,10788.06,581.65
2020-01-07,2020,1,UK,Canada,Machinery,14579.3,1725.93
2020-01-07,2020,1,Canada,UK,Machinery,13897.07,1142.21
2020-01-08,2020,1,Mexico,Canada,Mineral Fuels,16941.62,2083.5
2020-01-08,2020,1,Canada,India,Plastics,13030.37,1055.18
2020-01-08,2020,1,Australia,Italy,Plastics,12023.75,1395.86
2020-01-09,2020,1,USA,UK,Plastics,12322.79,2242.39
2020-01-10,2020,1,China,Japan,Electronics,15334.42,2078.37
2020-01-10,2020,1,Spain,Japan,Apparel,10853.69,1234.24
2020-01-10,2020,1,Russia,Germany,Electronics,15207.39,1727.27
2020-01-11,2020,1,Brazil,Japan,Automotive,16309.86,832.47
2020-01-11,2020,1,UK,India,Iron & Steel,12757.81,1879.6
2020-01-11,2020,1,Russia,UK,Apparel,11900.2,838.94
2020-01-12,2020,1,Spain,UK,Agriculture,12748.02,764.37
2020-01-13,2020,1,Japan,Germany,Mineral Fuels,16961.08,950.67
2020-01-13,2020,1,USA,China,Plastics,11435.47,1957.86
2020-01-14,2020,1,Spain,Russia,Agriculture,12529.36,737.06
2020-01-14,2020,1,Brazil,India,Iron & Steel,12768.81,764.43
2020-01-14,2020,1,Spain,South Korea,Iron & Steel,12723.44,1725.4
2020-01-14,2020,1,Canada,Brazil,Iron & Steel,12674.83,759.14
2020-01-14,2020,1,France,Australia,Pharmaceuticals,13926.14,1529.68
2020-01-14,2020,1,Canada,Spain,Iron & Steel,11801.44,1111.01
2020-01-15,2020,1,Russia,South Korea,Automotive,15634.82,2689.99
2020-01-16,2020,1,Japan,Canada,Mineral Fuels,16987.9,2504.89
2020-01-16,2020,1,Spain,Brazil,Electronics,14804.12,2018.43
2020-01-16,2020,1,South Korea,Mexico,Iron & Steel,12056.34,1346.32
2020-01-17,2020,1,Russia,South Korea,Electronics,15335.77,1147.64
2020-01-17,2020,1,UK,China,Apparel,11050.79,814.26
2020-01-17,2020,1,Brazil,Canada,Pharmaceuticals,13103.63,688.11
2020-01-17,2020,1,Russia,USA,Electronics,15459.54,2235.58
2020-01-17,2020,1,Germany,South Korea,Pharmaceuticals,13609.1,801.28
2020-01-18,2020,1,USA,Australia,Electronics,14909.28,2957.05
2020-01-18,2020,1,China,Italy,Pharmaceuticals,13655.1,715.55
2020-01-19,2020,1,Australia,South Korea,Automotive,15768.42,1078.66
2020-01-19,2020,1,Spain,Italy,Machinery,12914.21,1072.15
2020-01-19,2020,1,South Korea,Germany,Plastics,12148.29,828.79
2020-01-20,2020,1,Canada,Russia,Mineral Fuels,17112.05,1645.37
2020-01-20,2020,1,Italy,South Korea,Mineral Fuels,17155.0,1223.32
2020-01-20,2020,1,Germany,USA,Machinery,14255.75,2423.94
2020-01-20,2020,1,Germany,Spain,Mineral Fuels,17675.56,1181.43
2020-01-20,2020,1,Australia,Italy,Pharmaceuticals,11980.38,667.85
2020-01-20,2020,1,France,Mexico,Electronics,14539.66,816.47
2020-01-20,2020,1,France,Mexico,Automotive,16419.73,2834.67
2020-01-20,2020,1,Australia,Germany,Pharmaceuticals,12709.68,1206.97
2020-01-20,2020,1,Japan,UK,Iron & Steel,11410.89,948.8
2020-01-21,2020,1,France,UK,Automotive,16191.2,2477.13
2020-01-22,2020,1,Canada,Australia,Mineral Fuels,17898.18,1413.0
2020-01-24,2020,1,Italy,China,Pharmaceuticals,13148.49,1171.96
2020-01-24,2020,1,South Korea,Canada,Agriculture,11320.71,661.54
2020-01-24,2020,1,USA,France,Iron & Steel,12734.63,755.15
2020-01-24,2020,1,Canada,Italy,Automotive,15737.67,1418.64
2020-01-25,2020,1,Spain,Germany,Plastics,12224.32,825.98
2020-01-25,2020,1,Canada,Spain,Iron & Steel,12735.77,763.37
2020-01-25,2020,1,USA,Japan,Iron & Steel,12396.69,1025.18
2020-01-26,2020,1,Canada,Italy,Electronics,15545.43,886.31
2020-01-26,2020,1,China,India,Automotive,14957.05,999.98
2020-01-26,2020,1,Brazil,UK,Automotive,16526.58,3263.27
2020-01-26,2020,1,South Korea,Italy,Mineral Fuels,17144.36,1276.89
2020-01-26,2020,1,China,Spain,Mineral Fuels,17097.04,2545.31
2020-01-26,2020,1,Spain,Brazil,Automotive,15523.84,2976.68
2020-01-26,2020,1,Russia,France,Pharmaceuticals,12600.03,725.08
2020-01-27,2020,1,France,Russia,Mineral Fuels,17804.76,2035.62
2020-01-29,2020,1,Mexico,Spain,Mineral Fuels,15704.48,1998.12
2020-01-29,2020,1,Italy,Russia,Mineral Fuels,17023.22,931.73
2020-01-29,2020,1,Russia,France,Pharmaceuticals,12793.79,1692.52
2020-01-29,2020,1,India,Russia,Machinery,14435.03,961.96
2020-01-29,2020,1,Brazil,China,Apparel,11171.08,1403.24
2020-01-29,2020,1,USA,Japan,Iron & Steel,11908.47,609.99
2020-01-31,2020,1,Russia,USA,Agriculture,11895.94,1121.77
2020-01-31,2020,1,UK,Brazil,Iron & Steel,13334.95,1774.09
2020-02-01,2020,2,Spain,UK,Iron & Steel,12552.69,1034.98
2020-02-01,2020,2,South Korea,Australia,Agriculture,11885.23,926.72
2020-02-02,2020,2,Spain,India,Agriculture,11695.11,1603.83
2020-02-02,2020,2,Germany,Japan,Iron & Steel,12529.49,1848.93
2020-02-02,2020,2,Italy,Russia,Mineral Fuels,16537.77,937.79
2020-02-02,2020,2,USA,France,Machinery,13395.26,2231.21
2020-02-03,2020,2,Canada,South Korea,Automotive,16412.55,1005.37
2020-02-03,2020,2,Germany,India,Plastics,11867.74,1100.53
2020-02-03,2020,2,Japan,Brazil,Agriculture,12106.37,2307.53
2020-02-03,2020,2,China,India,Electronics,15455.68,883.36
2020-02-04,2020,2,South Korea,India,Machinery,14090.53,1076.56
2020-02-04,2020,2,Japan,UK,Pharmaceuticals,13018.97,1700.34
2020-02-04,2020,2,Brazil,Germany,Electronics,15305.11,1109.66
2020-02-05,2020,2,South Korea,India,Iron & Steel,11475.03,611.95
2020-02-05,2020,2,Brazil,China,Mineral Fuels,16723.89,2960.39
2020-02-06,2020,2,Spain,India,Machinery,14007.59,1239.96
2020-02-07,2020,2,Australia,India,Automotive,16807.79,962.74
2020-02-08,2020,2,Japan,Germany,Iron & Steel,12756.95,2423.01
2020-02-08,2020,2,Japan,Germany,Agriculture,12484.09,705.91
2020-02-08,2020,2,Australia,China,Plastics,12594.46,660.59
2020-02-09,2020,2,India,Australia,Automotive,16204.13,962.06
2020-02-09,2020,2,South Korea,Germany,Apparel,11653.84,1377.18
2020-02-09,2020,2,Spain,Italy,Agriculture,11868.63,1161.74
2020-02-09,2020,2,Canada,South Korea,Apparel,11741.24,1333.22
2020-02-10,2020,2,Canada,Spain,Electronics,14474.69,2636.53
2020-02-10,2020,2,Germany,USA,Pharmaceuticals,13876.14,2578.98
2020-02-10,2020,2,France,Spain,Automotive,16197.9,3002.61
2020-02-11,2020,2,Japan,China,Agriculture,12258.83,752.25
2020-02-11,2020,2,China,Japan,Automotive,15737.96,1576.58
2020-02-11,2020,2,Brazil,Russia,Pharmaceuticals,12208.21,690.98
2020-02-11,2020,2,Brazil,Australia,Agriculture,11346.32,575.09
2020-02-11,2020,2,Japan,Germany,Machinery,14098.12,924.05
2020-02-12,2020,2,India,Japan,Iron & Steel,11413.67,1809.26
2020-02-12,2020,2,China,India,Mineral Fuels,17523.55,2272.89
2020-02-13,2020,2,Italy,South Korea,Plastics,11764.03,1602.74
